10001,03-05-2024,cod01,2,37980
10002,04-05-2024,cod01,1,18990
10003,05-05-2024,cod02,3,33870
10004,06-05-2024,cod02,1,11290
10005,07-05-2024,cod03,1,1200
10006,08-05-2024,cod03,2,2400
10007,09-05-2024,cod04,2,13990
10008,10-05-2024,cod04,3,41970
10009,11-05-2024,cod05,4,22000
100010,12-05-2024,cod05,5,27500
100011,13-05-2024,cod06,2,47380
100012,14-05-2024,cod06,3,71070
100013,15-05-2024,cod07,3,29850
100014,16-05-2024,cod07,3,29850
100015,17-05-2024,cod08,2,11000
100016,18-05-2024,cod08,4,22000
100017,18-05-2024,cod09,5,7450
100018,19-05-2024,cod09,1,1490
100019,20-05-2024,cod10,2,5180
100020,21-05-2024,cod10,3,7770
